INCI name,CAS,EC no,Annex ref
ANONA MURICATA FRUIT EXTRACT,93165-81-2,296-969-4,
ANONA RETICULATA JUICE,,,
ANREDERA CORDIFOLIA LEAF EXTRACT,,,
ANSERINE,584-85-0,209-545-0,
ANT EGG OIL EXTRACT,,,
ANTENNARIA DIOICA CALLUS EXTRACT,,,
ANTENNARIA DIOICA EXTRACT,,,
ANTENNARIA MICROPHYLLA FLOWER EXTRACT,,,
ANTHEMIS NOBILIS FLOWER EXTRACT,84649-86-5,283-467-5,
ANTHEMIS NOBILIS FLOWER OIL,84649-86-5 / 8015-92-7,283-467-5 / -,
ANTHEMIS NOBILIS FLOWER POWDER,84649-86-5,283-467-5,
ANTHEMIS NOBILIS FLOWER WATER,84649-86-5,283-467-5,
ANTHEMIS NOBILIS FLOWER/LEAF/STEM OIL,8015-92-7,616-968-8 (L),
ANTHEMIS NOBILIS FLOWER/LEAF/STEM WATER,8015-92-7,616-968-8 (L),
ANTHOCYANINS,11029-12-2,,IV/149
"Anthocyanins (Cyanidin, Peonidin, Malvidin, Delphinidin, Petunidin, Pelargonidin)",528-58-5 / 134-01-0 / 528-53-0 / 643-84-5 / 134-04-3,208-438-6 / 205-125-6 / 211-403-8 / 208-437-0 / - / 205-127-7,IV/149
ANTHOXANTHUM ODORATUM EXTRACT,89957-44-8,289-562-8,
ANTHOXANTHUM ODORATUM LEAF/STEM EXTRACT,89957-44-8,289-562-8,
Anthracene oil,120-12-7,204-371-1,II/38
"Anthracene oil, acid ext.",91995-14-1,295-274-3,II/38
"Anthracene oil, anthracene paste, anthracene fraction, if it contains > 0.1% w/w benzene",91995-15-2,295-275-9,II/47
"Anthracene oil, anthracene paste, carbazole fraction, if it contains > 0.1% w/w benzene",91995-16-3,295-276-4,II/47
"Anthracene oil, anthracene paste, distn. lights, if it contains > 0.1% w/w benzene",91995-17-4,295-278-5,II/47
"Anthracene oil, anthracene paste, if it contains > 0.1% w/w benzene",90640-81-6,292-603-2,II/47
"Anthracene oil, anthracene-low, if it contains > 0.1% w/w benzene",90640-82-7,292-604-8,II/47
ANTHRACITE EXTRACT,,,
ANTHRANILIC ACID,118-92-3,204-287-5,
ANTHRAQUINONE,84-65-1,201-549-0,II/1603
"Anthraquinone; 9,10-anthraquinone",84-65-1,201-549-0,II/1603
ANTHRISCUS CEREFOLIUM EXTRACT,85085-20-7,285-352-5,
ANTHRISCUS CEREFOLIUM LEAF OIL,85085-20-7,285-352-5 (I),
ANTHRISCUS SYLVESTRIS EXTRACT,23749-19-7,,
ANTHURIUM ANDRAEANUM FLOWER EXTRACT,,,
ANTHYLLIS VULNERARIA EXTRACT,89957-45-9,289-563-3,
ANTHYLLIS VULNERARIA FLOWER EXTRACT,89957-45-9,289-563-3,
Anti-androgens of steroidal structure,,,II/390
ANTI-COLLAGENASE-1 MOUSE MONOCLONAL ANTIBODY,,,
ANTI-IMMUNOGLOBULIN SUPERFAMILY DCC SUBCLASS MEMBER 4 MOUSE MONOCLONAL ANTIBODY,,,
Anti-lymphocytic globulin,,,II/323
Anti-smallpox globulin,,,II/323
Antibiotics,,,II/39
ANTIDESMA VELUTINOSUM FRUIT EXTRACT,,,
Antimony and its compound,7440-36-0,231-146-5,II/40
ANTIMONY POTASSIUM TARTRATE,28300-74-5,,II/40
ANTIRRHINUM MAJUS FLOWER EXTRACT,,,
ANTLER VELVET,,,II/419
Antophyllite,77536-67-5,,II/762
ANTRODIA CINNAMOMEA EXTRACT,,,
ANTRODIA CINNAMOMEA FERMENT EXTRACT,,,
ANTRODIA CINNAMOMEA FERMENT FILTRATE POWDER,,,
ANTRODIA CINNAMOMEA FRUITING BODY EXTRACT,,,
antu (ISO);,86-88-4,201-706-3,II/321
AORTA EXTRACT,225234-42-4,,
APHANIZOMENON FLOSAQUAE EXTRACT,,,
APHANIZOMENON FLOSAQUAE POWDER,,,
APHANOTHECE SACRUM EXOPOLYSACCHARIDES,,,
APHANOTHECE SACRUM POLYSACCHARIDE,,,
APHANOTHECE SACRUM POLYSACCHARIDES,,,
APHANOTHECE SACRUM POWDER,,,
APHLOIA THEIFORMIS LEAF EXTRACT,,,
APIGENIN,520-36-5,208-292-3,
APIOS AMERICANA ROOT EXTRACT,,,
APIUM GRAVEOLENS CALLUS EXTRACT,,,
APIUM GRAVEOLENS EXTRACT,89997-34-2,289-667-9,
APIUM GRAVEOLENS LEAF EXTRACT,89997-35-3,289-668-4,
APIUM GRAVEOLENS LEAF OIL,89997-35-3,289-668-4,
APIUM GRAVEOLENS RAPACCUM LEAF EXTRACT,89997-34-2,289-667-9,
APIUM GRAVEOLENS RAPACCUM LEAF OIL,89997-34-2,289-667-9,
APIUM GRAVEOLENS RAPACCUM SEED OIL,89997-34-2,289-667-9,
APIUM GRAVEOLENS ROOT EXTRACT,89997-35-3,289-668-4,
APIUM GRAVEOLENS ROOT/SEED EXTRACT,89997-35-3,289-668-4,
APIUM GRAVEOLENS SEED EXTRACT,89997-35-3,289-668-4,
APIUM GRAVEOLENS SEED OIL,89997-35-3,289-668-4,
APIUM GRAVEOLENS STEM EXTRACT,89997-35-3,289-668-4,
APO-LACTOFERRIN,,,
APOCYNIN,498-02-2,207-854-5,
APOCYNUM CANNABINUM ROOT EXTRACT,84603-51-0,283-253-1,II/41
Apocynum cannabium L. and its preparations,84603-51-0,283-253-1,II/41
APOCYNUM VENETUM LEAF/STEM EXTRACT,,,
apomorphine,58-00-4,200-360-0,II/42
"Apomorphine ((R)-5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol)) and its salts",58-00-4,200-360-0,II/42
"Apomorphine hydrochloride; 4H-Dibenzo(de,g)quinoline-10,11-diol, 5,6,6a,7-tetrahydro-6-methyl-, hydrochloride (1:1), (6aR)-",314-19-2,206-243-0,II/42
"Apomorphine hydrochloride; 4H-Dibenzo(de,g)quinoline-10,11-diol, 5,6,6a,7-tetrahydro-6-methyl-, hydrochloride, hydrate (2:1), (6aR)-",41372-20-7,,II/42
APPLE CIDER VINEGAR,,,
APRICOT KERNEL AMINO ACIDS,,,
APRICOT KERNEL OIL PEG-40 ESTERS,,,
APRICOT KERNEL OIL PEG-6 ESTERS,69071-70-1,,
APRICOT KERNEL OIL PEG-8 ESTERS,,,
APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS,,,
APRICOT KERNEL OIL POLYGLYCERYL-3 ESTERS,,,
APRICOT KERNEL OIL POLYGLYCERYL-4 ESTERS,,,
APRICOT KERNEL OIL POLYGLYCERYL-5 ESTERS,,,
APRICOT KERNEL OIL POLYGLYCERYL-6 ESTERS,,,
APRICOT KERNEL OIL PROPYLENE GLYCOL ESTERS,,,
APRICOTAMIDE DEA,185123-36-8,,III/60
APRICOTAMIDOPROPYL BETAINE,133934-08-4,,
APRICOTAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,115340-78-8,,
AQUA,7732-18-5,231-791-2,
AQUAMARINE EXTRACT,,,
AQUAMARINE POWDER,,,
AQUAPHILUS DOLOMIAE EXTRACT,,,
AQUAPHILUS DOLOMIAE EXTRACT FILTRATE,,,
AQUAPHILUS DOLOMIAE FERMENT FILTRATE,,,
AQUILARIA AGALLOCHA OIL,,,
AQUILARIA AGALLOCHA STEM EXTRACT,94350-09-1,305-227-1,
AQUILARIA AGALLOCHA WOOD EXTRACT,,,
AQUILARIA AGALLOCHA WOOD OIL,,,
AQUILARIA AGALLOCHA WOOD POWDER,,,
AQUILARIA CRASSNA STEM EXTRACT,,,
AQUILARIA CRASSNA STEM OIL,,,
AQUILARIA CRASSNA STEM WATER,,,
AQUILARIA MALACCENSIS STEM EXTRACT,,,
AQUILARIA MALACCENSIS WOOD OIL,,,
AQUILARIA SINENSIS LEAF EXTRACT,,,
AQUILEGIA SIBIRICA FLOWER/LEAF/STEM EXTRACT,,,
AR-ETHYLPHENYLBUTYRALDEHYDE,68228-11-5,269-407-0,
AR-ISOPROPYLPHENYLACETALDEHYDE,1335-44-0,215-634-5,
ARABIDOPSIS THALIANA EXTRACT,,,
ARABINOSE,10323-20-3,233-708-5 (I),
ARABINOXYLAN,9040-27-1,,
ARACHIDETH-20,26636-39-5,500-049-2,
ARACHIDETH-22,26636-39-5,,
ARACHIDETH-27,26636-39-5,,
ARACHIDETH-32,26636-39-5,,
ARACHIDETH-37,26636-39-5,,
ARACHIDETH-42,26636-39-5,,
ARACHIDIC ACID,506-30-9,208-031-3,
ARACHIDONIC ACID,506-32-1,208-033-4,
ARACHIDYL ALCOHOL,629-96-9,211-119-4,
ARACHIDYL BEHENATE,42233-14-7,255-728-3,
ARACHIDYL ERUCATE,86601-86-7,,
ARACHIDYL GLUCOSIDE,,,
ARACHIDYL GLYCOL,39825-93-9,254-647-0,
ARACHIDYL GLYCOL ISOSTEARATE,172399-14-3,,
ARACHIDYL PROPIONATE,65591-14-2,265-839-9,
ARACHIDYL/BEHENYL ALCOHOL,,,
ARACHIDYL/BEHENYL BETAINATE ESYLATE,,,
ARACHIDYL/BEHENYL BETAINATE MESYLATE,,,
ARACHIS HYPOGAEA (PEANUT) SPROUT EXTRACT,,,
ARACHIS HYPOGAEA FLOUR,3/7/8002,232-296-4,
ARACHIS HYPOGAEA FRUIT EXTRACT,3/7/8002,232-296-4,
ARACHIS HYPOGAEA OIL,3/7/8002,232-296-4,
ARACHIS HYPOGAEA SEEDCOAT EXTRACT,3/7/8002,232-296-4,
ARACHIS HYPOGAEA SPROUT EXTRACT,,,
ARALIA CONTINENTALIS CALLUS CULTURE EXTRACT,,,
ARALIA CORDATA EXTRACT,,,
ARALIA CORDATA ROOT EXTRACT,,,
ARALIA ELATA BRANCH/LEAF EXTRACT,,,
ARALIA ELATA CALLUS CONDITIONED MEDIA EXTRACT,,,
ARALIA ELATA CALLUS EXTRACT,,,
ARALIA ELATA LEAF EXTRACT,,,
ARALIA ELATA ROOT EXTRACT,,,
ARALIA NUDICAULIS ROOT EXTRACT,223749-20-0,,
ARALIA RACEMOSA EXTRACT,89957-50-6,289-568-0,
ARAUCARIA ANGUSTIFOLIA NUT SHELL POWDER,,,
ARAUCARIA ANGUSTIFOLIA SEED EXTRACT,8015-68-7,,
ARAUCARIA ANGUSTIFOLIA SEED POWDER,8015-68-7,,
ARAUCARIA ANGUSTIFOLIA SEEDCOAT EXTRACT,,,
ARAUCARIA BIDWILLII SEED EXTRACT,,,
ARAUCARIA HETEROPHYLLA LEAF EXTRACT,,,
arbutamine,128470-16-6,,II/21
ARBUTIN,497-76-7,207-850-3,
ARBUTINYL UNDECYLENATE,,,
ARBUTUS UNEDO FRUIT EXTRACT,84012-12-4,281-657-2,
ARBUTUS UNEDO LEAF CELL EXTRACT,,,
ARBUTUS UNEDO LEAF EXTRACT,84012-12-4,281-657-2,
ARBUTUS UNEDO LEAF WATER,84012-12-4,281-657-2 (I),
ARCTIGENIN,7770-78-7,,
ARCTIIN,20362-31-6 -1073499-63-4,,
ARCTIUM LAPPA FRUIT EXTRACT,84012-13-5,281-658-8,
ARCTIUM LAPPA LEAF EXTRACT,,,
ARCTIUM LAPPA ROOT EXTRACT,84012-13-5,281-658-8,
ARCTIUM LAPPA ROOT POWDER,84012-13-5,281-658-8,
ARCTIUM LAPPA SEED EXTRACT,84012-13-5,281-658-8,
ARCTIUM LAPPA SEED OIL,84012-13-5 / 129893-25-0,281-658-8 / -,
ARCTIUM LAPPA SEED WATER,84012-13-5,281-658-8,
ARCTIUM MAJUS ROOT EXTRACT,84649-87-6,283-468-0,
ARCTIUM MAJUS ROOT WATER,84649-87-6,283-468-0,
ARCTIUM MINUS ROOT EXTRACT,84649-88-7,283-469-6,
ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT,84776-10-3,283-934-3,
ARCTOSTAPHYLOS UVA URSI LEAF POWDER,84776-10-3,283-934-3,
ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT,84776-10-3,283-934-3 (I),
ARCTOSTAPHYLOS UVA-URSI LEAF POWDER,,,
ARCTOSTAPHYLOS VISCIDA LEAF EXTRACT,,,
ARDISIA CRENATA EXTRACT,,,
ARDISIA CRENATA LEAF EXTRACT,,,
ARDISIA CRISPA EXTRACT,,,
ARDISIA JAPONICA BRANCH/LEAF EXTRACT,,,
ARECA CATECHU SEED EXTRACT,89957-52-8,289-570-1,
ARECA CATECHU SEED/EUGENIA CARYOPHYLLUS STEM EXTRACT,,,
ARECA CATECHU SHELL EXTRACT,,,
Arecoline,63-75-2,200-565-5,II/238
ARENARIA KANSUENSIS LEAF/ROOT/STEM EXTRACT,,,
ARENARIA SERPYLLIFOLIA LEAF EXTRACT,,,
ARGAN OIL AMINOPROPANEDIOL ESTERS,,,
ARGAN OIL GLYCERETH-8 ESTERS,,,
ARGAN OIL ISOSTEARYL ESTERS,,,
ARGAN OIL PEG-8 ESTERS,,,
ARGAN OIL POLYGLYCERYL-6 ESTERS,,,
ARGANIA SPINOSA CALLUS CULTURE EXTRACT,,,
ARGANIA SPINOSA CALLUS EXTRACT,,,
ARGANIA SPINOSA EXTRACT,223747-87-3,,
ARGANIA SPINOSA FRUIT EXTRACT,,,
ARGANIA SPINOSA FRUIT UNSAPONIFIABLES,223747-87-3,,
ARGANIA SPINOSA KERNEL EXTRACT,223747-87-3,,
ARGANIA SPINOSA KERNEL OIL,223747-87-3 ; 299184-75-1,,
ARGANIA SPINOSA KERNEL OIL/HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS,,,
ARGANIA SPINOSA LEAF CELL EXTRACT,,,
ARGANIA SPINOSA LEAF EXTRACT,223747-87-3,,
ARGANIA SPINOSA SEEDCAKE,,,
ARGANIA SPINOSA SEEDCAKE EXTRACT,,,
ARGANIA SPINOSA SHELL POWDER,223747-87-3,,
ARGANIA SPINOSA SPROUT CELL EXTRACT,,,
ARGEMONE MEXICANA CALLUS EXTRACT,,,
ARGEMONE MEXICANA SEED OIL,225233-94-3,,
ARGILLA,12199-37-0,235-374-6,
ARGILLA EXTRACT,,,
ARGININE,74-79-3 / 7200-25-1,200-811-1 / 230-571-3,
ARGININE AMINOPHOSPHONOBUTYRIC ACID,,,
ARGININE ANISATE,,,
ARGININE ASPARTATE,7675-83-4,231-656-8,
ARGININE BENZOATE,,,
ARGININE BICARBONATE,,,
ARGININE COCOATE,,,
ARGININE COCOYL GLYCINATE,,,
ARGININE DNA,,,
ARGININE FERULATE,,,
ARGININE GLUTAMATE,4320-30-3,224-350-0,
ARGININE HCL,1119-34-2,214-275-1,
ARGININE HEXYLDECYL PHOSPHATE,111129-35-2,,
ARGININE LAURAMINOPROPIONATE,,,
ARGININE LAURETH SULFATE,,,
ARGININE LAUROYL GLUTAMATE,,,
ARGININE LAUROYL GLYCINATE,,,
ARGININE LAUROYL METHYL BETA-ALANINATE,,,
ARGININE LEVULINATE,,,
ARGININE MANDELATE,,,
ARGININE PCA,56265-06-6 / 64855-91-0,260-081-5 / 265-253-3,
ARGININE PEG-4 COCAMIDE SULFATE,,,
ARGININE PORPHYRA YEZOENSIS EXTRACT,,,
ARGININE SALICYLATE,,,
ARGININE SORBATE,,,
ARGININE/LYSINE POLYPEPTIDE,31014-78-5,,
ARGINYL SH-PENTAPEPTIDE-7,,,
ARGON,7440-37-1,231-147-0,
ARISAEMA AMURENSE EXTRACT,,,
ARISAEMA CONSANGUINEUM ROOT EXTRACT,,,
"Aristolochia clematitis, ext.; Aristolochia extract obtained from Aristolochia clematitis, Aristolochiaceae; Birthwort; Dutchman's Pipe",84775-44-0,283-873-2,II/365
Aristolochic acid and its salts; Aristolochia spp. and their preparations,475-80-9 / 313-67-7 / 15918-62-4,202-499-6 / 206-238-3 / -,II/365
"Aristolochic acid II; Phenanthro(3,4-d)-1,3-dioxole-5-carboxylic acid, 6-nitro-",475-80-9,207-499-6,II/365
"Aristolochic acid IV; Phenanthro(3,4-d)-1,3-dioxole-5-carboxylic acid, 8,10- dimethoxy-6-nitro-",15918-62-4,,II/365
"Aristolochic acid; 8-Methoxy-3,4-methylenedioxy-10-nitrophenanthrene-1- carboxylic acid; Aristolochine",313-67-7 / 61117-05-3,206-238-3 / -,II/365
ARISTOTELIA CHILENSIS FRUIT EXTRACT,,,
ARISTOTELIA CHILENSIS FRUIT JUICE,,,
ARISTOTELIA CHILENSIS LEAF EXTRACT,,,
ARISTOTELIA CHILENSIS SEED OIL,,,
ARMERIA ALPINA LEAF CELL EXTRACT,,,
ARMERIA MARITIMA EXTRACT,,,
ARMERIA MARITIMA FLOWER/LEAF/STEM EXTRACT,223747-89-5,,
ARMILLARIA MELLEA EXTRACT,,,
ARMILLARIA MELLEA FERMENT FILTRATE,,,
ARMILLARIA MELLEA MYCELIUM EXTRACT,,,
ARNEBIA EUCHROMA ROOT EXTRACT,,,
ARNICA CHAMISSONIS FLOWER EXTRACT,97659-55-7,307-460-4,
ARNICA MONTANA EXTRACT,,,
ARNICA MONTANA FLOWER,68990-11-4,273-579-2,
ARNICA MONTANA FLOWER EXTRACT,68990-11-4,273-579-2,
ARNICA MONTANA FLOWER OIL,68990-11-4,273-579-2,
ARNICA MONTANA FLOWER WATER,68990-11-4,273-579-2,
ARNICA MONTANA FLOWER/RHIZOME/ROOT POWDER,,,
AROMA,,,
"Aromatic hydrocarbons, C20-28, polycyclic, mixed coal-tar pitch-polyethylene polypropylene pyrolysis-derived, if they contain > 0.005 % w/w benzo[a]pyrene",101794-74-5,309-956-6,II/633
"Aromatic hydrocarbons, C20-28, polycyclic, mixed coal-tar pitch-polyethylene pyrolysis-derived, if they contain > 0.005 % w/w benzo[a]pyrene",101794-75-6,309-957-1,II/634
"Aromatic hydrocarbons, C20-28, polycyclic, mixed coal-tar pitch-polystyrene pyrolysis-derived, if they contain > 0.005 % w/w benzo[a]pyrene",101794-76-7,309-958-7,II/635
"Aromatic hydrocarbons, C6-10, acid-treated, neutralized, if it contains > 0.1% w/w benzene",68131-49-7,268-618-5,II/47
"Aromatic hydrocarbons, C6-10, C8-rich, if it contains > 0.1% w/w benzene",90989-41-6,292-697-5,II/47
"Aromatic hydrocarbons, C6-8, naphtha-raffinate pyrolyzate-derived, if it contains > 0.1% w/w benzene",68475-70-7,270-658-3,II/47
"Aromatic hydrocarbons, C7-12, C8-rich, if it contains > 0.1% w/w benzene",93571-75-6,297-401-8,II/47
"Aromatic hydrocarbons, C7-8, dealkylation products, distn. residues, if it contains > 0.1% w/w benzene",90989-42-7,292-698-0,II/47
"Aromatic hydrocarbons, C8, catalytic reforming-derived, if it contains > 0.1% w/w benzene",91995-18-5,295-279-0,II/47
"Aromatic hydrocarbons, C8, if it contains > 0.1% w/w benzene",90989-38-1,292-694-9,II/47
"Aromatic hydrocarbons, C8-10, if it contains > 0.1% w/w benzene",90989-39-2,292-695-4,II/47
"Aromatic hydrocarbons, C8-9, hydrocarbon resin polymn. by-product, if it contains > 0.1% w/w benzene",91995-20-9,295-281-1,II/47
"Aromatic hydrocarbons, C9-12, benzene distn., if it contains > 0.1% w/w benzene",92062-36-7,295-551-9,II/47
ARONIA ARBUTIFOLIA EXTRACT,,,
ARONIA ARBUTIFOLIA FRUIT EXTRACT,,,
ARONIA MELANOCARPA CALLUS EXTRACT,,,
ARONIA MELANOCARPA FRUIT EXTRACT,,,
ARONIA MELANOCARPA FRUIT JUICE,,,
ARONIA MELANOCARPA FRUIT/LEAF EXTRACT,,,
ARRABIDAEA CHICA LEAF POWDER,,,
ARRABIDAEA CHICA LEAF/STEM EXTRACT,,,
Arsenic acid and its salts,7778-44-1,,II/43
Arsenic and its compounds,7440-38-2,231-148-6,II/43
ARTEMIA EXTRACT,225234-40-2,,
ARTEMISIA ABROTANUM EXTRACT,89957-58-4,289-576-4,
ARTEMISIA ABROTANUM LEAF/STEM EXTRACT,89957-58-4,289-576-4,
ARTEMISIA ABSINTHIUM EXTRACT,84929-19-1,284-503-2,
ARTEMISIA ABSINTHIUM HERB EXTRACT,84929-19-1,284-503-2,
ARTEMISIA ABSINTHIUM HERB OIL,84929-19-1,284-503-2,
ARTEMISIA ABSINTHIUM OIL,84929-19-1,284-503-2,
ARTEMISIA ABSINTHIUM/CHAMAECYPARIS OBTUSA WOOD EXTRACT,,,
ARTEMISIA AFRA LEAF/STEM OIL,,,
ARTEMISIA ANNUA (LEAF/STEM)/FICUS CARICA FRUIT/GINKGO BILOBA LEAF EXTRACT,,,
ARTEMISIA ANNUA CALLUS EXTRACT,,,
ARTEMISIA ANNUA EXTRACT,84775-74-6,283-903-4,
ARTEMISIA ANNUA FLOWER/LEAF/STEM EXTRACT,,,
ARTEMISIA ANNUA HERB OIL,84775-74-6,283-903-4,
ARTEMISIA ANNUA LEAF EXTRACT,84775-74-6,283-903-4,
ARTEMISIA ANNUA LEAF/STEM EXTRACT,,,
ARTEMISIA ANNUA MERISTEM CELL EXTRACT,,,
ARTEMISIA ANNUA OIL,,,
ARTEMISIA ANNUA SEED EXTRACT,,,
ARTEMISIA ANNUA/CITRUS JUNOS FRUIT/PINUS DENSIFLORA LEAF EXTRACT,,,
ARTEMISIA ANOMALA EXTRACT,,,
ARTEMISIA ARBORESCENS HERB OIL,92113-09-2,295-614-0,
ARTEMISIA ARGYI LEAF EXTRACT,,,
ARTEMISIA ARGYI LEAF OIL,,,
ARTEMISIA ARGYI LEAF WATER,,,
ARTEMISIA ASIATICA EXTRACT,92201-42-8,295-971-2,
ARTEMISIA CAPILLARIS EXTRACT,,,
ARTEMISIA CAPILLARIS FLOWER EXTRACT,223747-93-1,,
ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM EXTRACT,,,
ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM WATER,223747-93-1,,
ARTEMISIA CAPILLARIS LEAF EXTRACT,223747-93-1,,
ARTEMISIA CAPILLARIS LEAF/STEM/WOOD EXTRACT,,,
ARTEMISIA CAPILLARIS POWDER,,,
ARTEMISIA CARUIFOLIA EXTRACT,,,
ARTEMISIA CARUIFOLIA POWDER,,,
ARTEMISIA DRACUNCULUS FLOWER,,,
ARTEMISIA DRACUNCULUS HERB EXTRACT,90131-45-6,290-356-5,
ARTEMISIA DRACUNCULUS LEAF/STEM EXTRACT,90131-45-6,290-356-5,
ARTEMISIA DRACUNCULUS OIL,90131-45-6 / 8016-88-4,290-356-5 / -,
ARTEMISIA DRACUNCULUS ROOT EXTRACT,90131-45-6,290-356-5,
ARTEMISIA DRACUNCULUS SEED/ANTHEMIS NOBILIS SEED/HYPERICUM ANDROSAEMUM SEED EXTRACT,,,
ARTEMISIA FUKUDO EXTRACT,,,
ARTEMISIA GLACIALIS EXTRACT,89957-61-9,289-580-6,
ARTEMISIA GMELINII EXTRACT,,,
ARTEMISIA GMELINII LEAF OIL,,,
ARTEMISIA GMELINII LEAF/STEM/TWIG EXTRACT,,,
ARTEMISIA HERBA-ALBA FLOWER EXTRACT,84775-75-7,283-905-5,
ARTEMISIA HERBA-ALBA HERB OIL,84775-75-7,283-905-5,
ARTEMISIA HERBA-ALBA LEAF OIL,84775-75-7,283-905-5,
ARTEMISIA HERBA-ALBA OIL,84775-75-7,283-905-5,
ARTEMISIA INDICA LEAF EXTRACT,,,
ARTEMISIA JAPONICA EXTRACT,,,
ARTEMISIA LAVANDULAEFOLIA EXTRACT,,,
ARTEMISIA MARITIMA EXTRACT,89957-63-1,289-582-7,
ARTEMISIA MARITIMA HERB OIL,89957-63-1,289-582-7,
ARTEMISIA MONGOLIA LEAF EXTRACT,,,
ARTEMISIA MONTANA FLOWER OIL,,,
ARTEMISIA MONTANA LEAF EXTRACT,,,
ARTEMISIA MONTANA LEAF POWDER,,,
ARTEMISIA MONTANA LEAF WATER,,,
ARTEMISIA PALLENS FLOWER EXTRACT,91844-86-9,295-155-6,
ARTEMISIA PALLENS FLOWER OIL,91844-86-9 / 8016-03-3,295-155-6 / -,
ARTEMISIA PALLENS FLOWER/LEAF/STEM OIL,91844-86-9,295-155-6,
ARTEMISIA PALLENS HERB EXTRACT,91844-86-9,295-155-6,
ARTEMISIA PALLENS HERB OIL,91844-86-9,295-155-6,
ARTEMISIA PRINCEPS CALLUS EXTRACT,,,
ARTEMISIA PRINCEPS EXTRACT,223747-95-3,,
ARTEMISIA PRINCEPS LEAF EXTRACT,223747-95-3,,
ARTEMISIA PRINCEPS LEAF OIL,,,
ARTEMISIA PRINCEPS LEAF POWDER,223747-95-3 (generic),,
ARTEMISIA PRINCEPS LEAF WATER,223747-95-3,,
ARTEMISIA PRINCEPS LEAF/EQUISETUM ARVENSE/HOUTTUYNIA CORDATA EXTRACT,,,
ARTEMISIA PRINCEPS LEAF/STEM/TWIG EXTRACT,223747-95-3 (generic),,
ARTEMISIA PRINCEPS LEAF/TRITICUM VULGARE BRAN EXTRACT,223747-95-3,,
ARTEMISIA SCOPARIA EXTRACT,,,
ARTEMISIA TRIDENTATA,,,
ARTEMISIA TRIDENTATA EXTRACT,,,
ARTEMISIA TRIDENTATA LEAF/STEM OIL,,,
ARTEMISIA UMBELLIFORMIS EXTRACT,94333-86-5,305-065-1,
ARTEMISIA UMBELLIFORMIS FLOWER EXTRACT,94333-86-5,305-065-1,
ARTEMISIA VULGARIS EXTRACT,84775-45-1,283-874-8,
ARTEMISIA VULGARIS HERB EXTRACT,84775-45-1,283-874-8,
ARTEMISIA VULGARIS LEAF EXTRACT,,,
ARTEMISIA VULGARIS OIL,84775-45-1,283-874-8,
ARTEMISINIC ACID,80286-58-4,,
ARTEMISININ,63968-64-9,,
ARTEPILLIN C,72944-19-5,,
ARTHRAXON HISPIDUS FLOWER/LEAF/STEM EXTRACT,,,
ARTHROBACTER/HYALURONIC ACID FERMENT FILTRATE,,,
ARTHROBACTER/PANAX GINSENG ROOT FERMENT FILTRATE,,,
ARTHROSPIRA EXTRACT,,,
ARTHROSPIRA PLATENSIS CULTURE CONDITIONED MEDIA,,,
ARTHROSPIRA PLATENSIS EXTRACT,,,
ARTOCARPUS ALTILIS FLOWER EXTRACT,,,
ARTOCARPUS ALTILIS WOOD EXTRACT,,,
ARTOCARPUS HETEROPHYLLUS FRUIT EXTRACT,,,
ARTOCARPUS HETEROPHYLLUS SEED EXTRACT,93333-78-9,297-047-4,
ARTOCARPUS LAKOOCHA WOOD EXTRACT,,,
ARUNCUS AETHUSIFOLIUS EXTRACT,,,
ARUNCUS DIOICUS LEAF/STEM EXTRACT,,,
ARUNCUS DIOICUS ROOT EXTRACT,,,
ARUNDO DONAX STEM EXTRACT,,,
"Arylid; 4',5-Dichlorosalicylanilide; Benzamide, 5-chloro-N-(4-chlorophenyl)-2-hydroxy-",1147-98-4,,II/349
ASARUM CANADENSE ROOT OIL,,,
ASARUM HETEROTROPOIDES EXTRACT,,,
ASARUM HETEROTROPOIDES RHIZOME EXTRACT,,,
ASARUM HETEROTROPOIDES ROOT EXTRACT,,,
ASARUM SIEBOLDII RHIZOME/ROOT EXTRACT,,,
ASARUM SIEBOLDII ROOT EXTRACT,,,
ASARUM SIEBOLDII ROOT WATER,,,
Asbestos Fibres,1332-21-4,,II/762
ASCIDIAN TUNIC EXTRACT,,,
ASCOPHYLLUM NODOSUM,,,
ASCOPHYLLUM NODOSUM EXTRACT,84775-78-0,283-907-6,
ASCOPHYLLUM NODOSUM POWDER,84775-78-0,283-907-6,
ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS EXTRACT,"84696-13-9,84775-78-0","283-633-7 (I),283-907-6 (I)",
ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS/HIZIKIA FUSIFORME/KJELLMANIELLA GYRATA/LESSONIA NIGRESCENS/SACCHARINA ANGUSTATA/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA EXTRACT,,,
ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS/LAMINARIA CLOUSTONI/LAMINARIA DIGITATA EXTRACT,,,
